Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Jackass Forever,2022,Jeff Tremaine,"['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England', 'Jason Acuña', 'Ehren McGhehey', 'Preston Lacy', 'Zach Holmes', 'Sean McInerney', 'Jasper Dolphin', 'Rachel Wolfson', 'Eric Manaka', 'Tory Belleci', 'Nick Merlino', 'Eric André', 'Tony Hawk', 'Francis Ngannou', 'Machine Gun Kelly', 'Tyler, the Creator', 'Spike Jonze', 'Jeff Tremaine', 'Ryan Dunn', 'Brandon DiCamillo', 'Rake Yohn', 'Chris Raab', 'Rob Dyrdek', 'Jess Margera', 'Jalen Ramsey', 'P.K. Subban', 'Travis Bennett', 'Alia Shawkat', 'Compston Wilson', 'Lance Bangs', 'Sydney Bennett', 'Otmara Marrero', ""Danielle O'Toole"", 'Aaron Homoki', 'Dimitry Elyashkevich', 'Courtney Pauroso', 'Lionel Boyce', 'Stephanie Angulo', 'Natalie Palamides', 'David Gravette', 'Sean Cliver', 'Trip Taylor', 'Rick Kosick', 'Shanna Zablow Newton', 'Errol Chatham', 'Parks Bonifay', 'DJ Paul', 'Bam Margera']",3.58,nan,"['Documentary', 'Comedy']",96,['USA'],English,['English'],"['Paramount', 'MTV Entertainment Studios', 'Dickhouse Productions', 'Gorilla Flicks']",234988,46568,67058,231,1092,1862,1447,6042,7671,29428,34348,55107,11962,18072,167031,https://letterboxd.com/film/jackass-forever/
Kadaisi Vivasayi,2021,M. Manikandan,"['Nallandi', 'Vijay Sethupathi', 'Yogi Babu', 'Muniswaran', 'Kaalaipandiyan', 'Raichal Rabecca Philip']",4.16,nan,['Drama'],145,['India'],Tamil,['Tamil'],['Tribal Art Productions'],6640,2224,3550,192,6,9,15,40,59,197,400,1402,1132,2142,5402,https://letterboxd.com/film/kadaisi-vivasayi/
Puss in Boots: The Last Wish,2022,Joel Crawford,"['Antonio Banderas', 'Salma Hayek Pinault', 'Harvey Guillén', 'Wagner Moura', 'Florence Pugh', 'Olivia Colman', 'Ray Winstone', 'Samson Kayo', 'John Mulaney', ""Da'Vine Joy Randolph"", 'Anthony Mendez', 'Kevin McCann', 'Bernardo de Paula', 'Betsy Sodaro', 'Artemis Pebdani', 'Conrad Vernon', 'Cody Cameron', 'Kailey Crawford', 'Al Rodrigo', 'Bob Persichetti', 'Miguel Matrai', 'Pilar Uribe', 'Heidi Gardner', 'Joel Crawford', 'Januel Mercado', 'James Ryan', 'Natalia Cronembold', 'Paul Fisher', 'Aydrea Walden']",4.15,nan,"['Animation', 'Family', 'Fantasy', 'Action', 'Comedy', 'Adventure']",103,['USA'],English,"['English', 'Spanish']","['DreamWorks Animation', 'Universal Pictures']",1104146,163862,460973,8000,700,1932,1316,8034,10657,58201,99407,281257,177240,251406,890150,https://letterboxd.com/film/puss-in-boots-the-last-wish/
Mass,2021,Fran Kranz,"['Martha Plimpton', 'Jason Isaacs', 'Ann Dowd', 'Reed Birney', 'Breeda Wool', 'Michelle N. Carter', 'Kagen Albright', 'Michael White', 'Campbell Spoor']",4.06,nan,['Drama'],111,['USA'],English,['English'],"['7 Eccles Street', 'Circa 1888', '5B Productions']",43095,20750,13344,94,40,72,155,438,653,2851,5885,13253,7820,4679,35846,https://letterboxd.com/film/mass-2021/
Babylon,2022,Damien Chazelle,"['Brad Pitt', 'Margot Robbie', 'Diego Calva', 'Jean Smart', 'Flea', 'Jovan Adepo', 'J.C. Currais', 'Jimmy Ortega', 'Hansford Prince', 'Telvin Griffin', 'Olivia Wilde', 'Circus-Szalewski', 'Lukas Haas', 'Li Jun Li', 'Kaia Gerber', 'Patrick Fugit', 'Eric Roberts', 'Cici Lau', 'Tyler Seiple', 'Zack Newick', 'Rory Scovel', 'Olivia Hamilton', 'P.J. Byrne', 'Alexandre Chen', 'Bob Clendenin', 'Miraj Grbić', 'Johnny Hoops', 'James Wellington', 'Carlos Nunez', 'Laura Steinel', 'Danny Jolles', 'James Vincent', 'Richard Clarke Larsen', 'Max Minghella', 'Samara Weaving', 'Jeff Garlin', 'Anthony Burkhalter', 'Terry Walters', 'Trisha Simmons', 'Ariel Flores', 'Karolina Szymczak', ""Sean O'Bryan"", 'David Ury', 'Katia Gomez', 'Vanessa Bednar', 'Carson Higgins', 'Armando Cosio', 'Frederick Koehler', 'Spencer Morgan', 'Ric Sarabia', 'Jim Allen Jackson', 'Katherine Waterston', 'Yissendy Trinidad', 'Cyrus Hobbi', 'Anton Hedayat', 'Hayley Huntley', 'John Mariano', 'Christopher Allen', 'Arely Vianet', 'Jeremy Roberts', 'Alex Reznik', 'Chloe Fineman', 'Pat Skipper', 'John Kerry', 'Sarah Ramos', 'Jennifer Grant', 'Julian Lefevre', 'Taylor Nichols', 'Bryan Scott Johnson', 'Kelly Meyer', 'Brenna Power', 'David Abed', 'Kevin Symons', 'Jonathan Thomson', ""Jim O'Brien"", 'Chris Doubek', 'Todd Giebenhain', 'Mather Zickel', 'Ireland Sexton', 'Andrew Hawtrey', 'Mike Fletcher', 'Jonathan Ohye', 'James Crittenden', 'Pete Ploszek', 'Robert Beitzel', 'Ethan Suplee', 'Walker Hare', 'Douglas Fruchey', 'Taylor Hill', 'Marc Platt', 'Stephen Thomas', 'Sophia Magaña', 'Karen Bethzabe', 'Oscar Balderrama', 'Aurielle Simmons', 'Eamon Hunt', 'Kenajuan Bentley', 'John Macey', 'Marcos A. Ferraez', 'Phoebe Tonkin', 'Troy Metcalf', 'Albert Hammond Jr.', 'Cutty Cuthbert', 'Bregje Heinen', 'Dana Marcolina', 'Tal Seder', 'Robert Morgan', 'Nana Ghana', 'Joe Dallesandro', 'E.E. Bell', 'Sol Landerman', 'Karina Fontes', 'Spike Jonze', 'Freya Parker', 'Tobey Maguire', 'Shane Powers', 'David Lau', 'Noah Reilly', 'Jeremy Lappitt', 'Robert Verdi', 'Kenneth Foerch', 'Sean Franz', 'Jonathan Stehney', 'Andrew Leonard', 'Richard Dobeck', 'Alex Budman', 'Jacob Scesney', 'Frank Fontaine', 'Anibal Seminario', 'Scott Mayo', 'Dan Kaneyuki', 'Alex Sadnik', 'John Mitchell', 'Gerald Dixon', 'Rickey D. Woodard', 'Jonathan James Thompson', 'Francis C. Edemobi', 'Larry O. Williams', 'Aaron Shaw', 'Micah Wright', 'Rayner Fernandez', 'Glen Turner', 'Roy Wiegand', 'Bryce Schmidt', 'Sean Billings', 'Aaron O. Smith', 'Justin Gilmore', 'Johnny Britt', 'Keith Beyer', 'Luis Gonzalez', 'Francisco Torres', 'Gary Hickman', 'Steve Suminski', 'Wendell Kelly', 'Byron Sleugh', 'Ryan Porter', 'Jeffery Miller', 'Mykail McDade', 'William Roper', 'Philip Keen', 'Erm Navarro', 'Alvin Starks', 'Robert Murray', 'John Polite', 'Errol Rhoden III', 'Kyle Richter', 'Sidney Hopson', 'Ronald Bruner', 'Dramane Kone', 'Lyndon Rochelle', 'Joey de Leon', 'Dayramir Gonzàlez', 'Greg Sadler', 'Michael Naishtut', 'Joseph Small', 'Avery Baylin', 'Jalen Harvey', 'Lara Wickes', 'Andrew Lederman', 'Karen Han', 'Justin Smith', 'Mateo Pollock', 'Hamed Santigui Camara', 'Brandon Owens', 'John Fluker', 'Jordan Seigel', 'Ralph Nader', 'Kevin Toney', 'Eric Reed', 'John Proulx', 'Michael Bustamante', 'Darrell Alston', 'Evan Greer', 'Gregory Poree', 'Joshua Alfaro', 'Brent Tyler', 'Ian Wurfl', 'Keelan Tobia', 'Justin Hargrove', 'Greg Webster', 'Luis Vadel', 'Benjamin Jacobson', 'Dean Anderson', 'Joel Pargman', 'Steve Huber', 'Eric Boulanger', 'Fernando Arroyo Lascurain', ""Lora'nd Lokustza"", 'Michael Freed', 'Robert Miskey', 'Robin Olson', 'Aaron Oltman', 'Peter Hatch', 'Phillip Triggs', 'Rodney Wirtz', 'Zach Dellinger', 'Benjamin Hoffman', 'Benjamin Penzner', 'Alex Mansour', 'Evgeny Tonkha', 'Michael Kaufman', 'Steve Velez', 'Raymond Newell', 'Del Atkins', 'Edwin Livingston', 'Miguel Norwood', 'Frank Abraham', 'Richard Simon', 'Marlon Martinez', 'Lewis Tan', 'Manny Liotta', 'Anna Chazelle', 'Mike C. Manning', 'Anna Dahl', 'Jennifer Mariela Bermeo', 'Dorian Martin']",3.82,nan,"['Comedy', 'Drama']",189,['USA'],English,"['English', 'Cantonese', 'Spanish']","['Paramount', 'Marc Platt Productions', 'Material Pictures', 'C2 Motion Picture Group', 'Wild Chickens', 'Organism Pictures']",646995,169066,231273,13000,2974,6386,5304,19453,22914,62699,80131,149697,91087,96782,537427,https://letterboxd.com/film/babylon-2022/
Nest,2022,Hlynur Pálmason,"['Ída Mekkín Hlynsdóttir', 'Grímur Hlynsson', 'Þorgils Hlynsson']",3.89,nan,['Drama'],22,"['Denmark', 'Iceland']",Icelandic,['Icelandic'],"['Snowglobe', 'Join Motion Pictures', 'Det Danske Filminstitut', 'Icelandic Film Centre']",11398,2268,4027,34,8,20,15,102,180,932,1430,2865,793,1037,7382,https://letterboxd.com/film/nest-2022/
Marcel the Shell with Shoes On,2021,Dean Fleischer Camp,"['Jenny Slate', 'Dean Fleischer Camp', 'Isabella Rossellini', 'Joe Gabler', 'Shari Finkelstein', 'Samuel Painter', 'Blake Hottle', 'Scott Osterman', 'Jeremy Evans', 'Lesley Stahl', 'Rosa Salazar', 'Thomas Mann', 'Sarah Thyre', 'Andy Richter', 'Nathan Fielder', 'Jessi Klein', 'Peter Bonerz', 'Jamie Leonhart', 'Avan Jogia', 'Victoria Justice', ""Conan O'Brien"", 'Brian Williams']",4.23,nan,"['Drama', 'Animation', 'Fantasy', 'Comedy', 'Family']",90,['USA'],English,"['English', 'Portuguese', 'Spanish']","['Cinereach', 'Strongman', 'Chiodo Bros. Productions', 'You Want I Should, LLC', 'Human Woman', 'Sunbeam TV & Films']",264986,94886,116112,4800,446,706,563,2292,3185,13654,24923,63498,44030,66489,219786,https://letterboxd.com/film/marcel-the-shell-with-shoes-on-2021/
Beautiful Beings,2022,Guðmundur Arnar Guðmundsson,"['Birgir Dagur Bjarkason', 'Áskell Einar Pálmason', 'Viktor Benóný Benediktsson', 'Snorri Rafn Frímannsson', 'Sunna Líf Arnarsdóttir', 'Kamilla Guðrún Lowen', 'Kristín Ísold Jóhannesdóttir', 'Ísgerður Elfa Gunnarsdóttir', 'Aðalbjörg Emma Hafsteinsdóttir', 'Blær Hinriksson', 'Ólafur Darri Ólafsson', 'Anita Briem', 'Theodór Pálsson', 'Davíð Guðbrandsson', 'Þórhildur Ingunn', 'Sólveig Guðmundsdóttir', 'Árni Arnarson', 'Stefán Franz Guðnason', 'Arnar Dan Kristjánsson', 'Bragi Árnason', 'Sigurður Eyberg', 'Mikael Leo Aclipen', 'Arnfinnur Þór Jónsson', 'Baldur Einarsson', 'Stormur Jón Kormákur Baltasarsson', 'Daniel Hans Erlendsson', 'Jónmundur Grétarsson', 'María Pálsdóttir', 'Ebba Guðný Guðmundsdóttir', 'Helga Kristín Helgadóttir', 'Kári Trevor Park']",3.79,nan,['Drama'],123,"['Czechia', 'Denmark', 'Iceland', 'Netherlands', 'Sweden']",Icelandic,"['Icelandic', 'Spanish']","['Bastide Films', 'HOBAB', 'Join Motion Pictures', 'Motor', 'Negativ', 'Film i Väst']",5098,2185,1479,63,1,13,10,85,149,552,881,1403,516,431,4041,https://letterboxd.com/film/beautiful-beings/
The Blood of the Dinosaurs,2021,Joe Badon,"['Holly Bonney', 'Vincent Stalba', 'Tiffany Christy', 'Stella Creel', 'John Davis', 'Jeff Pearson', 'Christopher Ray', 'Kali Russell', 'Steve Smith']",nan,nan,"['Horror', 'Comedy']",18,['USA'],English,['English'],['Two Headed Venus Production'],187,119,51,1,2,2,2,10,7,30,14,27,3,16,113,https://letterboxd.com/film/the-blood-of-the-dinosaurs/
Deadstream,2022,"Joseph Winter, Vanessa Winter","['Joseph Winter', 'Melanie Stone', 'Jason K. Wixom', 'Pat Barnett Carr', 'Marty Collins', 'Perla Lacayo', 'Cylia Austin-Lacayo', 'Hayden Gariety', 'Ariel Lee', 'Jaxon Harker', 'Jeremy Warner', 'Brenden Bytheway', 'Doug May', 'Tiffany Bori', 'Vanessa Winter']",3.28,nan,"['Comedy', 'Horror']",87,"['USA', 'UK']",English,['English'],"['Winterspectre Entertainment', 'Jared R Cook Productions', 'Stonehaven Entertainment', 'Freeway CAM B.V.']",49566,18150,14018,35,352,668,764,2277,3253,9863,11528,9824,2067,1635,42231,https://letterboxd.com/film/deadstream/
Prehistoric Planet,2022,"Adam Valdez, Andrew R. Jones",['David Attenborough'],4.23,nan,['Documentary'],nan,"['UK', 'USA']",English,['English'],"['BBC Studios Natural History Unit', 'Golem Creations']",8861,1687,3693,46,4,8,11,44,59,320,613,1752,1312,2232,6355,https://letterboxd.com/film/prehistoric-planet/
Bleat,2022,Yorgos Lanthimos,"['Emma Stone', 'Damien Bonnard']",3.57,nan,"['Mystery', 'Drama']",30,['Greece'],No spoken language,['No spoken language'],"['National Ecological Observatory Network', 'Superprime Films']",943,880,324,3,1,4,3,10,16,67,80,182,52,58,473,https://letterboxd.com/film/bleat/
Three Minutes: A Lengthening,2021,Bianca Stigter,"['Helena Bonham Carter', 'Glenn Kurtz', 'Moszek Tuchendler']",3.73,nan,"['Documentary', 'History']",69,"['Netherlands', 'UK']",English,"['English', 'German', 'Polish']","['Family Affair Films', 'Lammas Park']",2640,1570,641,3,2,4,5,41,77,295,455,627,165,157,1828,https://letterboxd.com/film/three-minutes-a-lengthening/
Moonfall,2022,Roland Emmerich,"['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Charlie Plummer', 'Kelly Yu', 'Michael Peña', 'Carolina Bartczak', 'Zayn Maloney', 'Ava Weiss', 'Hazel Nugent', 'Chris Sandiford', 'Jonathan Maxwell Silver', 'Eme Ikwuakor', 'Stephen Bogaert', 'Maxim Roy', 'Ryan Bommarito', 'Kathleen Fee', 'Donald Sutherland', 'Frank Schorpion', 'Sebastian Pigott', 'Jaa Smith-Johnson', 'Adam LeBlanc', 'Frank Fiola', 'Katy Breier', 'Josh Cruddas', 'Kyle Gatehouse', 'Tyrone Benskin', 'Gerardo Lo Dico', 'Michelle Langlois Fequet', 'Tyler Elliot Burke', 'Andreas Apergis', 'André Bédard', 'Zachary Amzallag', 'Michael Piotr Czyz', 'Steven Piovesan', 'Jake Lewis', 'Andrew Christopher Albanese', 'Susan Almgren', 'Massimo Diem', 'Kiril Mitev', 'Krista Marchand', 'Sébastien Cimpaye', 'Delia Lisette Chambers', 'Achilles Montes-Vamvas', 'Harry Strandjofski', 'Randy Thomas', 'Robert Brewster', 'Alex Gravenstein', 'Derek Johns', 'Steven Goss', 'Jane Gilchrist', 'Maia Guest', 'Karl Walcott', 'Frank Marrs', 'Kwasi Songui', 'Anthony Jones Nestoras', 'Azriel Dalman', 'Lori Graham', 'David B. Tyler', 'Christopher de Courcy-Ireland', 'Ian Geldart', 'Nicole Leroux', 'Orla Johannes', 'Layla Tuy-Sok', 'Elisabeth Etienne', 'Christian Jadah', 'Julia Thomas', 'Éric Poirier', 'Martin Doepner', 'Paul Zinno', 'Tamara Brown', 'Rea Nolan']",1.92,nan,"['Science Fiction', 'Adventure', 'Action']",131,"['Hong Kong', 'UK', 'USA']",English,"['English', 'Chinese', 'French']","['Centropolis Entertainment', 'Street Entertainment', 'Lionsgate', 'AGC Studios', 'Huayi Tencent Entertainment Company', 'Huayi Brothers International']",124309,26497,13399,84,8568,16355,14983,21724,13521,13340,5256,3817,699,2135,100398,https://letterboxd.com/film/moonfall/
Play It Safe,2021,Mitch Kalisa,"['Jonathan Ajayi', 'Kate Ovenden', 'Louis Richards', 'Heather Alexander', ""Charlie O'Connor"", 'Kat Ronson', 'Emily Seale-Jones']",3.9,nan,['Drama'],13,['UK'],English,['English'],['COMPULSORY'],3159,790,842,1,5,6,3,27,48,180,329,742,272,268,1880,https://letterboxd.com/film/play-it-safe-2021/
Hit the Road,2021,Panah Panahi,"[""Hasan Ma'juni"", 'Pantea Panahiha', 'Rayan Sarlak', 'Amin Simiar']",3.9,nan,"['Comedy', 'Drama']",94,['Iran'],Persian (Farsi),"['Persian (Farsi)', 'English']",['JP Production'],25695,10664,8607,241,48,97,118,400,660,2280,3914,7203,3037,2412,20169,https://letterboxd.com/film/hit-the-road-2021/
Memoria,2021,Apichatpong Weerasethakul,"['Tilda Swinton', 'Agnes Brekke', 'Daniel Giménez Cacho', 'Jerónimo Barón', 'Juan Pablo Urrego', 'Jeanne Balibar', 'Aída Morales', 'Constanza Guitérrez', 'Elkin Díaz', 'Daniel Toro']",3.77,nan,"['Science Fiction', 'Drama', 'Mystery']",136,"['China', 'Colombia', 'France', 'Germany', 'Mexico', 'Switzerland', 'Thailand', 'UK', 'USA']",Spanish,"['Spanish', 'English']","['Anna Sanders Films', 'Burning Blue', 'Illuminations Films', 'Kick the Machine', 'Piano', 'The Match Factory', 'ZDF/Arte', 'Xstream Pictures', 'Sovereign Films', 'Rediance', 'Louverture Films', 'Labo', 'Bord Cadre Films', 'Beijing Contemporary Art Foundation', '185 Films']",69977,30442,21624,746,512,1033,791,2459,2653,6365,7463,13453,7426,7198,49353,https://letterboxd.com/film/memoria-2011/
The Painter and the Thief,2020,Benjamin Ree,"['Barbora Kysilkova', 'Karl-Bertil Nordland', 'Øystein Stene', 'Linda Ville Marie Ruud', 'Bjørn Inge Nordland']",3.83,nan,['Documentary'],102,"['Norway', 'USA']",Norwegian,"['Norwegian', 'English']","['Medieoperatørene', 'VGTV', 'Dogwoof', 'Tremolo Productions']",12532,5014,3475,23,11,20,36,145,271,1253,2047,3370,1229,940,9322,https://letterboxd.com/film/the-painter-and-the-thief-2020/
The Rescue,2021,"Elizabeth Chai Vasarhelyi, Jimmy Chin","['Jim Warny', 'Thanet Natisri', 'John Volanthen', 'Derek Anderson', 'Rick Stanton', 'Mikko Paasi', 'Richard Harris', 'Josh Morris', 'Mitch Torrel', 'Craig Challen', 'Ruengrit Changkwanyuen', 'Josh Bratchley', 'Jason Mallinson', 'Connor Roe', 'Fiona Harris', 'Ben Svasti Thomson', 'Chris Jewell', 'Felix Rosen', 'Saman Gunan', 'Vern Unsworth', 'Rob Harper', 'Bhak Loharjun', 'Surathin Chaichoomphu', 'Natnadai Bradwell', 'Singhanat Losuya', 'Waleeporn Gunan', 'Bobby Trarewaxe', 'Somsak Kanakam', 'Tiger Hirankrit', 'Woranan Ratrawiphukkun', 'Anan Surawan', 'Ben Reymenants', 'Nat Lawson', 'Apakorn Youkongkaew', 'Weerasak Kowsurat', 'Anupong Paochinda', 'Bancha Duriyapunt', 'Siriporn Bangnoen']",4.07,nan,"['Documentary', 'Drama']",107,"['Thailand', 'UK', 'USA']",English,"['English', 'German', 'Thai']","['Cavalry Media', 'Little Monster Films', 'National Geographic', 'Ventureland', 'Storyteller Productions', 'Passion Pictures', 'Michael De Luca Productions', 'National Geographic Documentary Films']",43489,11068,11916,29,7,23,30,129,316,2097,5537,15647,5816,4353,33955,https://letterboxd.com/film/the-rescue-2021/
The Truffle Hunters,2020,"Michael Dweck, Gregory Kershaw","['Carlo Gonella', 'Sergio Cauda', 'Aurelio Conterno', 'Angelo Gagliardi', 'Maria Cicciù', 'Gianfranco Curti', 'Paolo Stacchini', 'Piero Botto', 'Egidio Gagliardi', 'Fiona, the dog']",3.81,nan,['Documentary'],84,"['USA', 'Greece', 'Italy']",Italian,"['Italian', 'English', 'French']","['Faliro House Productions', 'Frenesy Film', 'Park Pictures Features', 'Bow + Arrow Entertainment', 'Artemis Rising', 'Tandem']",10304,3795,3008,60,5,11,19,126,223,1055,1843,2715,842,890,7729,https://letterboxd.com/film/the-truffle-hunters/
Digital Video Editing with Adobe Premiere Pro: The Real-World Guide to Set Up and Workflow,2020,Hong Seong-yoon,"['Park Soo-yeon', 'Cha Seo-won', 'Seo Hyun-woo', 'Moon Hye-in']",3.62,nan,"['Comedy', 'Romance', 'Horror']",40,['South Korea'],Korean,['Korean'],"['Korean Film Council', 'Central Park Films']",1218,637,454,1,3,6,2,27,20,114,232,261,80,51,796,https://letterboxd.com/film/digital-video-editing-with-adobe-premiere-pro-the-real-world-guide-to-set-up-and-workflow/
Beginning,2020,Dea Kulumbegashvili,"['Ia Sukhitashvili', 'Rati Oneli', 'Kakha Kintsurashvili', 'Saba Gogichaishvil', 'Giorgi Tsereteli', 'Ia Kokiashvili', 'Mari Kopchenovi']",3.55,nan,['Drama'],126,['Georgia'],Georgian,"['Georgian', 'English']","['First Picture', 'Georgian National Film Centre', 'Zadig Films', 'OFA']",8704,4558,1899,27,53,113,133,373,448,1128,1323,1629,554,410,6164,https://letterboxd.com/film/beginning-2020/
The Outlaw Johnny Black,2023,Michael Jai White,"['Michael Jai White', 'Anika Noni Rose', 'Erica Ash', 'Byron Minns', 'Kevin Chapman', 'Kym Whitley', 'Tommy Davidson', 'Buddy Lewis', 'Glynn Turman', 'Chris Browning', 'Barry Bostwick', 'Gary Anthony Williams', 'Tony Baker', 'Tyler Bryan', 'Paul Logan']",2.89,nan,"['Western', 'Comedy', 'Action']",137,['USA'],English,['English'],['Jaigantic Studios'],2169,1151,507,1,30,70,113,258,313,439,302,176,36,33,1770,https://letterboxd.com/film/the-outlaw-johnny-black/
Lamb,2021,Valdimar Jóhannsson,"['Noomi Rapace', 'Hilmir Snær Guðnason', 'Björn Hlynur Haraldsson', 'Ingvar E. Sigurðsson', 'Ester Bibi', 'Sigurður Elvar Viðarson', 'Theodór Ingi Ólafsson', 'Arnþruður Dögg Sigurðardóttir', 'Gunnar Þor Karlsson', 'Lára Björk Hall']",3.13,nan,"['Drama', 'Fantasy', 'Horror']",106,"['Iceland', 'Poland', 'Sweden']",Icelandic,['Icelandic'],"['Black Spark Film & TV', 'Film i Väst', 'Go to Sheep', 'Madants', 'Rabbit Hole Productions', 'Chimney Poland', 'Chimney Sweden']",183935,49172,36807,266,1413,3378,3703,13230,16799,40394,31457,24706,4674,4866,144620,https://letterboxd.com/film/lamb-2021/
Annette,2021,Leos Carax,"['Adam Driver', 'Marion Cotillard', 'Simon Helberg', 'Devyn McDowell', 'Angèle', 'Natalia Lafourcade', 'Sinay Bavurhe', 'Franziska Grohmann', 'Rachel Mulowayi', 'Christiane Tchouhan', 'Iman Europe', 'Lauren Evans', 'Cindy Almouzni', 'Danielle Withers', 'Julia Bullock', 'Claron McFadden', 'Natalie Mendoza', 'Kiko Mizuhara', 'Noémie Schellens', 'Kanji Furutachi', 'Rila Fukushima', 'Laura Jansen', 'Eva van der Gucht', 'Bettina Meske', 'David E. Moore', 'John Paval', 'Lemuel Pitts', 'Colin Lainchbury-Brown', 'Wim Opbrouck', 'Kait Tenison', 'Rebecca Sjowall', 'Geoffrey Carey', 'Alberto Chromatico', 'Okon Ubanga Jones', 'Gabriela Leguizamo', 'Kamary Phillips', 'Aydogan Abay', 'Arvid Assarsson', 'Jeffrey Dowd', 'Rebecca Dyson-Smith', 'Graciela Maria', 'Clément Ducol', 'Richard McCowen', 'Michael Moore', 'Beatrice Reece', 'Eugene Stovall', 'Sarah Tsehaye', 'Fiora Cutler', 'Ron Mael', 'Russell Mael', 'Marina Bohlen', 'Elke Shari Van Den Broeck', 'Arina Yalaletdinova', 'Ella Leyers', 'Philippe Beyls', 'Amos Kaden Chea', 'Apollo Colligan', 'Sonny Dunlap', 'Yossi Guetta', 'James Larson', 'Adrian Tupas', 'Nastya Golubeva Carax', 'Ai Nishina', 'Ayano', 'Alex Casnoff', 'Patrick Kelly', 'Stevie Nistor', 'Eli Pearl', 'Evan Weiss', 'Ryan Parrish', 'Joe Berry', 'Emmi Joutsi', 'Leos Carax', 'Tyler Matteo', 'Kevin van Doorslaer', 'Verona Verbakel', 'Dominique Dauwe']",3.37,nan,"['Romance', 'Drama']",140,"['Belgium', 'France', 'Germany', 'Greece', 'Japan', 'Mexico', 'Switzerland']",English,"['English', 'French']","['Eurospace', 'Detailfilm', 'ARTE France Cinéma', 'CG Cinéma', 'Garidi Films', 'Théo Films', 'Tribus P Films', 'UGC', 'SCOPE Pictures', 'Wrong Men', 'Piano']",127616,42592,31142,637,1564,3082,2571,7461,7798,16392,17799,22157,8841,7722,95387,https://letterboxd.com/film/annette/
Mangrove,2020,Steve McQueen,"['Letitia Wright', 'Shaun Parkes', 'Malachi Kirby', 'Rochenda Sandall', 'Jack Lowden', 'Jodhi May', 'Alex Jennings', 'Thomas Coombes', 'Richard Cordery', 'Gershwyn Eustache Jnr', 'Karl Farrer', 'Joakim Skarli', 'Joe Tucker', 'Rachel Sophia-Anthony', 'Guy Samuels', 'Charlotte Nash', 'Joshua Viner', 'Sam Spruell', 'Nathaniel Martello-White', 'Jumayn Hunter', 'Gary Beadle', 'Richie Campbell']",4.08,nan,['Drama'],127,['UK'],English,['English'],"['Turbine Studios', 'BBC', 'Lammas Park', 'EMU Films']",36019,15119,11456,11,17,56,42,173,377,1671,3847,12393,6159,2669,27404,https://letterboxd.com/film/mangrove-2020/
Last Night in Soho,2021,Edgar Wright,"['Thomasin McKenzie', 'Anya Taylor-Joy', 'Matt Smith', 'Rita Tushingham', 'Michael Ajao', 'Synnøve Karlsen', 'Pauline McLynn', 'Terence Stamp', 'Diana Rigg', 'Aimée Cassettari', 'Colin Mace', 'Jessie Mei Li', 'Kassius Nelson', 'Rebecca Harrod', 'Alan Mahon', 'Connor Calland', 'Josh Zaré', 'Jacqui-Lee Pryce', 'Elizabeth Berrington', 'James Phelps', 'Oliver Phelps', 'Beth Singh', 'Paul Brightwell', 'Will Rogers', 'Terence Frisch', 'Celeste Dring', 'Jeanie Wishes', 'Andrew Bicknell', 'Adam Sopp', 'Richard Corgan', 'Michael Mears', 'Tom Hartwell', 'Paul Hamilton', 'Wayne Cater', 'Sam Claflin', 'Sam Parks', 'Alan Ruscoe', 'Margaret Nolan', 'Christopher Carrico', 'Kent Goldfinch', 'Ian Harrod', 'Ian Hartley', 'Daniel Maggott', ""Richard O'Sullivan"", 'Michael Jibson', 'Lisa McGrillis', 'Derek Lea', 'Lati Gbaja', 'Paul Riddell', 'Katrina Vasilieva', 'Al Roberts']",3.4,nan,"['Thriller', 'Mystery', 'Horror']",116,"['China', 'UK', 'USA']",English,['English'],"['Focus Features', 'Film4 Productions', 'Perfect World Pictures', 'Working Title Films', 'Complete Fiction', 'Universal Pictures']",746022,149300,211025,5000,2520,7980,9802,37471,49401,118220,125448,143556,43954,52625,590977,https://letterboxd.com/film/last-night-in-soho/
The Marriage Escape,2020,Johan Nijenhuis,"['Herman Finkers', 'Johanna ter Steege', 'Leonie ter Braak', 'Ferdi Stofmeel', 'Stef Assen', 'Aniek Stokkers', 'Daphne Bunskoek', 'Belinda van der Stoep', 'Ingeborg Uyt den Boogaard']",3.45,nan,"['Drama', 'Comedy']",103,['Netherlands'],Dutch,['Dutch'],"['Johan Nijenhuis & Co', 'Omroep MAX']",1440,223,217,2,2,12,8,49,67,227,302,293,54,48,1062,https://letterboxd.com/film/the-marriage-escape/
