Film_title;Release_year;Director;Genres;Owner_rating;Average_rating;Runtime;Countries;Original_Language;Spoken_Languages;Watches;List_Appearances;Likes;Cast;Studios;Letterboxd URL
Wings of Desire;1987;Wim Wenders;['Drama', 'Romance', 'Fantasy'];4.5;4.29;128;['France', 'Germany'];German;['German', 'English', 'Spanish', 'French', 'Hebrew (modern)', 'Japanese', 'Turkish'];131821;57442;47976;['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander', 'Curt Bois', 'Peter Falk', 'Hans Martin Stier', 'Elmar Wilms', 'Sigurd Rachman', 'Beatrice Manowski', 'Lajos Kovács', 'Bruno Rosaz', 'Laurent Petitgand', 'Chick Ortega', 'Otto Kuhnle', 'Christoph Merg', 'Peter Werner', 'Teresa Harder', 'Jürgen Heinrich', 'Annelinde Gerstl', 'Mick Harvey', 'Nick Cave', 'Blixa Bargeld', 'Susanne Vierkötter', 'Paul Busch', 'Karin Busch', 'Irene Moessinger', 'Franky', 'Daniela Nasimcova', 'Bernard Eisenschitz', 'Didier Flamand', 'Rolf Henke', 'Scott Kirby', 'Franck Glemin', 'Jerry Barrish', 'Jeanette Pollak', 'Christian Bartels', 'David Crome', 'Käthe Fürstenwerth', 'Werner Schönrock', 'Bernd Ramien', 'Erika Rabau', 'Silvia Blagojeva Itscherenska', 'Sultan Meral', 'Olivier Picot', 'Jochen Gliscinsky', 'Erich Schupke', 'Margarete Hafner', 'Oliver Herder', 'Margitta Haberland', 'Ralf Strathmann', 'Walter Ratayszak', 'Charlotte Oberberg', 'Lubinka Kostic', 'Gisela Westerboer', 'Andreas Valentin', 'Wolf-Dirk Vogeley', 'Ruth Rischke', 'Familie Ayik', 'Simon Bonney', 'Harry Howard', 'Rowland S. Howard', 'Thomas Wydler', 'Roland Wolf', 'Kid Congo Powers', 'Denis Rodriguez', 'Dieta von Aster', 'Gustav Geisler', 'Paul Geisler', 'Lorenz Geisler', 'Slađana Kostić', 'Benedikt Schumann', 'Nicolas Roth', 'Marcus Stenzel', 'Benjamin Ferchow', 'Mario Meyer', 'Mark Leuschner', 'Tibor Dahlenburg', 'Lia Harder', 'Mascha Noak', 'Vera Butzek', 'Donald Behrendt', 'Patric Kreuzer', 'Simone Säger', 'Gerdi Hofmann', 'Ulrike Schirm', 'Hans Marquardt', 'Heimke Karl', 'Klaus Mausolf', 'Özyer Hüsinye', 'Jean-Claude Lezin', 'Thierry Noir', 'Matthias Maaß', 'Henry Luczkow', 'Louis Cochet', 'Lina Otto', 'Johanna Penski'];['Argos Films', 'Wim Wenders Stiftung', 'WDR', 'Road Movies'];https://letterboxd.com//film/wings-of-desire/
All That Jazz;1979;Bob Fosse;['Drama'];nan;4.29;123;['USA'];English;['English'];87484;58201;31916;['Roy Scheider', 'Ann Reinking', 'Leland Palmer', 'Jessica Lange', 'Erzsebet Foldi', 'Deborah Geffner', 'Anthony Holland', 'Ben Vereen', 'Max Wright', 'David Margulies', 'William LeMassena', 'John Lithgow', 'Cliff Gorman', 'Michael Tolan', 'Irene Kane', 'Kathryn Doby', 'Robert Hitt', 'Sue Paul', 'Keith Gordon', 'Frankie Man', 'Alan Heim', 'Sandahl Bergman', 'Eileen Casey', 'Bruce Anthony Davis', 'Gary Flannery', 'Jennifer Nairn-Smith', 'Danny Ruvolo', 'Leland Schwantes', 'John Sowinski', 'Candace Tovar', 'Rima Vetter', 'Trudy Carson', 'Mary Sue Finnerty', 'Lesley Kingley', 'P.J. Mann', 'Cathy Rice', 'Sonja Stuart', 'Terri Treas', 'Ralph E. Berntsen', 'Jan Flato', 'John Paul Fetta', 'Andy Schwartz', 'Robert Levine', 'Phil Friedman', 'Stephen Strimpell', 'Leonard Drum', 'Eugene Troobnick', 'Jules Fisher', 'Ben Masters', 'Cathie Shirriff', 'Joanna Merlin', 'Leah Ayres', 'Nancy Beth Bird', 'Harry Agress', 'CCH Pounder', 'Tito Goya', 'Tiger Haynes', 'Lotte Palfi Andor', 'K.C. Townsend', 'Melanie Hunter', 'Rita Bennett', 'Gary Bayer', 'Wayne Carson', 'Kerry Casserly', 'Judi Passeltiner', 'Steve Elmore', 'Nicole Fosse', 'Vicki Frederick', 'Minnie Gaster', 'Michael Green', 'Bruce MacCallum', 'Joyce Ellen Hill', 'I.M. Hobson', 'Edith Kramer', 'Barbara McKinley', 'Mary McCarty', 'Theresa Merritt', 'Gavin Moses', 'Mary Mon Toy', 'Wallace Shawn', 'Jacqueline Solotar', 'Sloane Shelton', 'Sammy Smith', 'Arnold Gross', 'Terry Alexander'];['Columbia Pictures', '20th Century Fox'];https://letterboxd.com//film/all-that-jazz/
Shoplifters;2018;Hirokazu Kore-eda;['Drama', 'Thriller', 'Crime'];4.5;4.29;120;['Japan'];Japanese;['Japanese'];252037;76335;90958;['Lily Franky', 'Sakura Ando', 'Mayu Matsuoka', 'Kairi Jo', 'Miyu Sasaki', 'Kirin Kiki', 'Sosuke Ikematsu', 'Naoto Ogata', 'Yôko Moriguchi', 'Yuki Yamada', 'Moemi Katayama', 'Kengo Kora', 'Chizuru Ikewaki', 'Akira Emoto', 'Aju Makita', 'Hajime Inoue', 'Haruna Hori', 'Nana Mizoguchi', 'Madoka Tomosaki'];['Fuji Television Network', 'AOI Pro.', 'BUN-BUKU', 'GAGA Corporation'];https://letterboxd.com//film/shoplifters/
The Departed;2006;Martin Scorsese;['Crime', 'Thriller', 'Drama'];4.5;4.29;151;['Hong Kong', 'USA'];English;['English', 'Cantonese'];1081207;195386;356863;"['Jack Nicholson', 'Leonardo DiCaprio', 'Matt Damon', 'Mark Wahlberg', 'Vera Farmiga', 'Martin Sheen', 'Ray Winstone', 'Anthony Anderson', 'Alec Baldwin', 'Kevin Corrigan', 'James Badge Dale', ""David O'Hara"", 'Robert Wahlberg', 'Kristen Dalton', 'Thomas B. Duffy', 'Richard Hughes', 'Chance Kelly', 'Larry Mitchell', 'Mark Rolston', 'J. C. MacKenzie', 'Mary Klug', ""Robert 'Toshi' Kar Yuen Chan"", 'Peg Holzemer', 'Gurdeep Singh', 'Armen Garo', 'John Cenatiempo', 'Brian Smyj', 'William Severs', 'Douglas Crosby', 'Dorothy Lyman', 'Audrie Neenan', 'Conor Donovan', 'Patrick Coppola', ""Mick O'Rourke"", 'Nellie Sciutto', 'Henry Yuk', 'John Rue', 'Joseph P. Reidy', 'John Farrer', 'Billy Smith', 'Brian Haley', 'Terry Serpico', 'Jay Giannone', 'David Conley', 'Tracey Paleo', 'Jill Brown', 'Tom Kemp', 'Kevin P. McCarthy', 'Chris Fischer', 'Joseph Riccobene', 'Johnny Cicco', 'Lyman Chen', 'Shay Duffin', 'David Fischer', 'Emma Tillinger Koskoff', ""Craig 'Radioman' Castaldo"", 'Francesca Scorsese', 'Dennis Lynch', 'Michael Byron', 'Takumi Bando', 'Eric Bruno Borgman', 'Brendan Burke', 'Chris Chinn', 'Jeffrey Corazzini', 'Jim Ford', 'Trudi Goodman', 'Steve Lord', 'Jack McCullough', 'Osmani Rodriguez', 'Lawrence Cameron Steele', 'Conor Timmis', 'Joseph Oliveira', 'Adam Masnyk', 'John Franchi', 'Paul McGillicuddy', 'Kim Carrell', 'Rebecca Love', 'Sarah Fearon', 'Anthony Estrella', 'Andrew Breving', 'Frank Mallicoat', 'Paula DeMers', 'Amanda Lynch', 'Sallie Toussaint', 'Deborah Carlson', 'Peter Welch', 'William Lee', 'Peter Crafts', 'Paris Karounos', 'John Polce', 'Bo Cleary', 'Victor Chan', 'Denece Ryland', 'Zachary Pauliks', 'Daniel F. Risteen Jr.', 'Francis P. Hughes', 'John McConnell', 'Kenneth Stoddard', 'Jeffrey Winter', 'Paddy Curran', 'Mark Philip Patrick', 'Walter Y.F. Wong', 'Tony M. Yee', 'Alex Morris']";['Vertigo Entertainment', 'Media Asia Films', 'Initial Entertainment Group', 'Warner Bros. Pictures', 'Plan B Entertainment'];https://letterboxd.com//film/the-departed/
Chinatown;1974;Roman Polanski;['Thriller', 'Mystery', 'Crime', 'Drama'];4.5;4.29;130;['USA'];English;['English', 'Spanish', 'Cantonese'];393457;113253;119945;"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez', 'John Hillerman', 'Diane Ladd', 'Roman Polanski', 'Roy Jenson', 'Richard Bakalyan', 'James Hong', 'Bruce Glover', 'Joe Mantell', 'Roy Roberts', 'Noble Willingham', 'Rance Howard', 'Jesse Vint', 'Burt Young', 'Lee de Broux', 'Darrell Zwerling', 'Nandu Hinds', ""James O'Rear"", 'Beulah Quo', 'Jerry Fujikawa', 'Belinda Palmer', 'Elliott Montgomery', 'George Justin', 'C.O. Erickson', 'Charles Knapp', 'Claudio Martínez', 'Federico Roberto', 'Allan Warnick', 'John Holland', 'Jim Burk', 'Denny Arnold', 'Elizabeth Harding', 'John Rogers', 'Cecil Elliott', 'Paul Jenkins', 'Bob Golden', 'Richard Warren', 'Fritzi Burr', 'Cosmo Sardo']";['Paramount', 'Long Road Productions', 'Penthouse', 'Robert Evans Company'];https://letterboxd.com//film/chinatown/
The Hunt;2012;Thomas Vinterberg;['Drama'];4;4.29;116;['Belgium', 'Denmark', 'France', 'Sweden'];Danish;['Danish', 'Polish', 'English'];361714;75445;113999;['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm', 'Susse Wold', 'Anne Louise Hassing', 'Lars Ranthe', 'Alexandra Rapaport', 'Sebastian Bull Sarning', 'Steen Ordell Guldbrandsen', 'Daniel Engstrup', 'Troels Thorsen', 'Søren Rønholt', 'Hana Shuan', 'Jytte Kvinesdal', 'Josefine Gråbøl', 'Bjarne Henriksen', 'Nicolai Dahl Hamilton', 'Øyvind Hagen-Traberg', 'Allan Wibor Christensen', 'Rikke Bergmann', 'Rasmus Lind Rubin', 'Frank Rubæk', 'Jakob Højlev Jørgensen', 'Nina Christrup', 'Birgit Petersen', 'Karina Fogh Holmkjær', 'Heidi Gross', 'Marie Aktor', 'Mona C. Soliman', 'Mie Ravn Nielsen', 'Kim Westi Rasmussen', 'Thomas Ravn', 'Katrine Brygmann', 'Ole Dupont'];['Zentropa Entertainments', 'Det Danske Filminstitut', 'DR', 'Eurimages', 'MEDIA Programme of the European Union', 'Svenska Filminstitutet', 'SVT', 'Film i Väst', 'Nordisk Film & TV Fond'];https://letterboxd.com//film/the-hunt-2012/
Tampopo;1985;Jūzō Itami;['Comedy'];4.5;4.29;115;['Japan'];Japanese;['Japanese'];97814;43608;41521;['Tsutomu Yamazaki', 'Nobuko Miyamoto', 'Ken Watanabe', 'Koji Yakusho', 'Rikiya Yasuoka', 'Kinzō Sakura', 'Hyōe Enoki', 'Gō Awazu', 'Mario Abe', 'Izumi Hara', 'Isao Hashizume', 'Hisashi Igawa', 'Toshimune Kato', 'Kenso Kato', 'Yoshi Katō', 'Zenpaku Kato', 'Toshiya Fujita', 'Fukumi Kuroda', 'Nobuo Nakamura', 'Mariko Okada', 'Yoshihei Saga', 'Setsuko Shinoi', 'Hitoshi Takagi', 'Chōei Takahashi', 'Ei Takami', 'Akio Tanaka', 'Masahiko Tsugawa', 'Hideji Ōtaki', 'Naritoshi Hayashi', 'Yoriko Doguchi', 'Ryutaro Otomo', 'Gilyak Amagasaki'];['New Century Producers', 'Itami Productions'];https://letterboxd.com//film/tampopo/
The Father;2020;Florian Zeller;['Drama'];4.5;4.29;96;['France', 'UK', 'USA'];English;['English'];319195;83849;109406;['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams', 'Imogen Poots', 'Rufus Sewell', 'Ayesha Dharker', 'Roman Zeller', 'Evie Wray', 'Brian Rodger', 'Romulus Stoicescu'];['Trademark Films', 'F Comme Film', 'Ciné-@', 'Embankment Films', 'Film4 Productions', 'Canal+', 'Ciné+', 'Orange Studio', 'Les Films du Cru', 'AG Studios NYC', 'Simon Friend Entertainment', 'Viewfinder', 'CAA Media Finance', 'Sony Pictures Classics'];https://letterboxd.com//film/the-father-2020/
The Sacrifice;1986;Andrei Tarkovsky;['Drama'];4.5;4.29;149;['France', 'USSR', 'Sweden', 'UK'];Swedish;['Swedish', 'English', 'French', 'Icelandic'];72736;34802;24427;['Erland Josephson', 'Susan Fleetwood', 'Allan Edwall', 'Guðrún Gísladóttir', 'Sven Wollter', 'Valérie Mairesse', 'Filippa Franzén', 'Tommy Kjellqvist', 'Per Källman', 'Tommy Nordahl', 'Tintin Anderzon', 'Jane Friedmann', 'Helena Brodin', 'Martin Lindström', 'Birgit Carlstén', 'Jan-Olof Strandberg'];['Argos Films', 'Svenska Filminstitutet', 'Josephson & Nykvist HB', 'Sandrews', 'SVT', 'Film4 Productions'];https://letterboxd.com//film/the-sacrifice/
Pather Panchali;1955;Satyajit Ray;['Drama'];4.5;4.29;125;['India'];Bengali, Bangla;['Bengali, Bangla'];57475;43181;19640;['Subir Banerjee', 'Uma Das Gupta', 'Karuna Banerjee', 'Kanu Bannerjee', 'Chunibala Devi', 'Runki Banerjee', 'Reba Devi', 'Aparna Devi', 'Tulsi Chakraborty', 'Haren Banerjee', 'Rampada Das', 'Nibhanani Devi', 'Rama Gangopadhaya', 'Roma Ganguli', 'Binoy Mukherjee', 'Haridhan Nag', 'Harimohan Nag', 'Kshirod Roy', 'Suren Roy'];['Government of West Bengal'];https://letterboxd.com//film/pather-panchali/
The Young Girls of Rochefort;1967;Jacques Demy;['Romance', 'Comedy', 'Drama'];4.5;4.29;126;['France'];French;['French'];72069;49848;30644;['Catherine Deneuve', 'Françoise Dorléac', 'Jacques Perrin', 'Gene Kelly', 'Danielle Darrieux', 'Michel Piccoli', 'George Chakiris', 'Grover Dale', 'Jacques Riberolles', 'Geneviève Thénier', 'Henri Crémieux', 'Pamela Hart', 'Leslie North', 'Patrick Jeantet', 'René Pascal', 'Dorothée Blanck', 'Daniel Moquay', 'Daniel Gall', 'Bernard Fradet', 'Remy Brozek', 'Véronique Duval', 'Pierre Caden', 'Peter Ardran', 'Wendy Barry', 'Sarah Butler', 'Anne Chapman', 'Jane Darling', 'Tudor Davies', 'Lindsay Dolan', 'John McDonald', 'Keith Drummond', 'Maureen Evans', 'Tara Fernando', 'Sarah Flemington', 'Johnny Greenland', 'Leo Guerard', 'David Hepburn', 'Bob Howe', 'Alix Kirsta', 'Jerry Manley', 'Tony Manning', 'Tom Merrifield', 'Connel Miles', 'Albin Pahernik', 'Nicky Temperton', 'Barrie Wilkinson', 'Maureen Willsher', 'Anne Germain', 'Claude Parent', 'Christiane Legrand', 'Claudine Meunier', 'Alice Herald', 'José Bartel', 'Romuald', 'Donald Burke', 'Olivier Bonnet', 'Georges Blaness', 'Jacques Revaux', 'Jacques Henri Barratier', 'Liliane de Kermadec', 'Alain Franchet', 'Sarah Hardenberg', 'Florence Malraux', 'Michèle Manceaux', 'Annie Maurel', 'Jean Stout', 'Jacques Thébault', 'Dominique Tirmont', 'Agnès Varda'];['Parc Film', 'Madeleine Films'];https://letterboxd.com//film/the-young-girls-of-rochefort/
Funeral Parade of Roses;1969;Toshio Matsumoto;['Drama'];4;4.29;105;['Japan'];Japanese;['Japanese'];54992;35401;23884;['Shinnosuke Ikehata', 'Osamu Ogasawara', 'Yoshio Tsuchiya', 'Emiko Azuma', 'Koichi Nakamura', 'Masato Hara', 'Toyosaburo Uchiyama', 'Nagaharu Yodogawa', 'Masahiro Shinoda', 'Yoshihiro Katô'];['Art Theatre Guild', 'Matsumoto Production'];https://letterboxd.com//film/funeral-parade-of-roses/
Poor Things;2023;Yorgos Lanthimos;['Romance', 'Science Fiction', 'Comedy'];5;4.28;141;['Ireland', 'UK', 'USA'];English;['English', 'French', 'Portuguese'];17653;27320;8279;['Emma Stone', 'Mark Ruffalo', 'Willem Dafoe', 'Ramy Youssef', 'Jerrod Carmichael', 'Christopher Abbott', 'Suzy Bemba', 'Kathryn Hunter', 'Vicki Pepperdine', 'Margaret Qualley', 'Hanna Schygulla', 'Jack Barton', 'Charlie Hiscock', 'Attila Dobai', 'Emma Hindle', 'Anders Grundberg', 'Attila Kecskeméthy', 'Jucimar Barbosa', 'Carminho', 'Angela Paula Stander', 'Gustavo Gomes', 'Kate Handford', 'Owen Good', 'Zen Joshua Poisson', 'Vivienne Soan', 'Jerskin Fendrix', 'István Göz', 'Bruna Asdorian', 'Tamás Szabó Sipos', 'Tom Stourton', 'Mascuud Dahir', 'Miles Jovian', 'Jeremy Wheeler', 'János Geréb', 'Patrick de Valette', 'Raphaël Thiéry', 'Boris Gillot', 'Dorina Kovács', 'Yorgos Stefanakos', 'Hubert Benhamdine', 'Gábor Patay', 'Laurent Winkler', 'Andrew Hefler', 'Damien Bonnard', 'Noah Breton', 'Donovan Fouassier', 'Roderick Hill', 'Wayne Brett', 'John Locke', 'Keeley Forsyth', 'David Bromley'];['Searchlight Pictures', 'Film4 Productions', 'TSG Entertainment', 'Element Pictures', 'Limp', 'Fruit Tree'];https://letterboxd.com//film/poor-things-2023/
Oppenheimer;2023;Christopher Nolan;['History', 'Drama'];4.5;4.28;181;['UK', 'USA'];English;['English', 'Dutch'];1571306;272042;638259;"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.', 'Florence Pugh', 'Josh Hartnett', 'Casey Affleck', 'Rami Malek', 'Kenneth Branagh', 'Benny Safdie', 'Jason Clarke', 'Dylan Arnold', 'Tom Conti', ""James D'Arcy"", 'David Dastmalchian', 'Dane DeHaan', 'Alden Ehrenreich', 'Tony Goldwyn', 'Jefferson Hall', 'David Krumholtz', 'Matthew Modine', 'Scott Grimes', 'Kurt Koehler', 'John Gowans', 'Macon Blair', 'Harry Groener', 'Gregory Jbara', 'Ted King', 'Tim DeKay', 'Steven Houska', 'Petrie Willink', 'Matthias Schweighöfer', 'Alex Wolff', 'Josh Zuckerman', 'Rory Keane', 'Michael Angarano', 'Emma Dumont', 'Sadie Stratton', 'Britt Kyle', 'Guy Burnet', 'Tom Jenkins', 'Louise Lombard', 'Michael Andrew Baker', 'Jeff Hephner', 'Olli Haaskivi', 'David Rysdahl', 'Josh Peck', 'Jack Quaid', 'Brett DelBuono', 'Gustaf Skarsgård', 'James Urbaniak', 'Trond Fausa Aurvåg', 'Devon Bostick', 'Danny Deferrari', 'Christopher Denham', 'Jessica Erin Martin', 'Ronald Auguste', 'Máté Haumann', 'Olivia Thirlby', 'Jack Cutmore-Scott', 'Harrison Gilbertson', 'James Remar', 'Will Roberts', 'Pat Skipper', 'Steve Coulter', 'Jeremy John Wells', 'Sean Avery', 'Adam Kroeger', 'Drew Kenney', 'Bryce Johnson', 'Flora Nolan', 'Kerry Westcott', 'Christina Hogue', 'Clay Bunker', 'Tyler Beardsley', 'Maria Teresa Zuppetta', 'Kate French', 'Gary Oldman', 'Hap Lawrence', 'Meg Schimelpfenig', 'Matt Snead', 'Troy Bronson']";['Syncopy', 'Universal Pictures', 'Atlas Entertainment'];https://letterboxd.com//film/oppenheimer-2023/
Alien;1979;Ridley Scott;['Horror', 'Science Fiction'];5;4.28;117;['USA', 'UK'];English;['English', 'Spanish'];1244222;264427;441620;['Sigourney Weaver', 'Tom Skerritt', 'Ian Holm', 'Yaphet Kotto', 'John Hurt', 'Veronica Cartwright', 'Harry Dean Stanton', 'Bolaji Badejo', 'Helen Horton', 'Roy Scammell', 'Eddie Powell'];['20th Century Fox', 'Brandywine Productions'];https://letterboxd.com//film/alien/
To Be or Not to Be;1942;Ernst Lubitsch;['Comedy', 'War'];4;4.28;99;['USA'];English;['English', 'German'];55469;34931;18682;"['Carole Lombard', 'Jack Benny', 'Robert Stack', 'Felix Bressart', 'Lionel Atwill', 'Stanley Ridges', 'Sig Ruman', 'Tom Dugan', 'Charles Halton', 'George Lynn', 'Henry Victor', 'Maude Eburne', 'Halliwell Hobbes', 'Miles Mander', 'Rudolph Anders', 'Paul Barrett', 'Sven Hugo Borg', 'Danny Borzage', 'Buster Brodie', 'Peter Caldwell', 'Alec Craig', 'Helmut Dantine', 'Jack Deery', 'Leslie Denison', 'James Finlayson', 'James Gillette', 'Stuart Hall', 'Leyland Hodgson', 'Shep Houghton', 'Olaf Hytten', 'Charles Irwin', 'Tiny Jones', 'John Kellogg', 'Adolf E. Licho', 'Wilbur Mack', 'John Meredith', 'Maurice Murphy', 'Richard Neill', 'Russ Powell', 'Frank Reicher', 'Otto Reichow', 'Gene Rizzi', 'John Roy', 'Hans Schumm', 'Stephen Soldi', 'Count Stefenelli', 'Roland Varno', 'Ernö Verebes', 'Dorothy Vernon', ""Armand 'Curly' Wright"", 'Wolfgang Zilzer']";['United Artists'];https://letterboxd.com//film/to-be-or-not-to-be/
Prisoners;2013;Denis Villeneuve;['Thriller', 'Crime', 'Drama'];4;4.28;153;['USA'];English;['English'];1164183;197891;428116;['Hugh Jackman', 'Jake Gyllenhaal', 'Maria Bello', 'Terrence Howard', 'Paul Dano', 'Viola Davis', 'Melissa Leo', 'Dylan Minnette', 'Zoë Soul', 'Wayne Duvall', 'David Dastmalchian', 'Len Cariou', 'Sandra Ellis Lafferty', 'Erin Gerasimovich', 'Kyla-Drew', 'Brad James', 'Anthony Reynolds', 'Robert C. Treveiler', 'Victoria Staley', 'Todd Truley', 'Brian Daye', 'Alisa Harris', 'Robert Mello', 'Jeff Pope', 'Rodrick Goins', 'Mark Drum', 'Lana Yoo', 'Pam Smith', 'Gloria Webber', 'Michelle Keller', 'John Atwood', 'Stacy Melich', 'J. Omar Castro', 'Jane McNeill', 'Brody Rose'];['Alcon Entertainment', '8:38 Productions', 'Madhouse Entertainment'];https://letterboxd.com//film/prisoners/
Z;1969;Costa-Gavras;['Thriller', 'Crime', 'Drama'];4;4.28;127;['Algeria', 'France'];French;['French', 'Russian'];39126;28846;12532;['Yves Montand', 'Irene Papas', 'Jean-Louis Trintignant', 'Jacques Perrin', 'Charles Denner', 'François Périer', 'Bernard Fresson', 'Pierre Dux', 'Georges Géret', 'Magali Noël', 'Marcel Bozzuffi', 'Julien Guiomar', 'Renato Salvatori', 'Jean Bouise', 'Clotilde Joano', 'Maurice Baquet', 'Habib Reda', 'Hassan El-Hassani', 'Gérard Darrieu', 'Jean-Pierre Miquel', 'Sid Ahmed Agoumi', 'Jean Dasté', 'Van Doude', 'Jean-François Gobbi', 'Guy Mairesse', 'Andrée Tainsy', 'Eva Simonet', 'François Chaumette', 'Allel El Mouhib', 'José Artur', 'Raoul Coutard', 'Steve Gadler', 'Gabriel Jabbour', 'Georges Rouquier'];['Valoria Films'];https://letterboxd.com//film/z/
Casablanca;1942;Michael Curtiz;['Drama', 'Romance'];4;4.28;102;['USA'];English;['English', 'German', 'French', 'Italian'];616009;155070;191441;"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains', 'Conrad Veidt', 'Sydney Greenstreet', 'Peter Lorre', 'S.Z. Sakall', 'Madeleine Lebeau', 'Dooley Wilson', 'Joy Page', 'John Qualen', 'Leonid Kinskey', 'Curt Bois', 'Enrique Acosta', 'Ed Agresti', 'Louis V. Arco', 'Frank Arnold', 'Leon Belasco', 'Nino Bellini', 'Oliver Blake', 'Monte Blue', 'Eugene Borden', 'Dick Botiller', 'Maurice Brierre', 'Sebastian Cabot', 'Anita Camargo', 'George M. Carleton', 'Spencer Chan', 'Melie Chang', 'Tex Cooper', 'Gino Corrado', 'Franco Corsaro', ""Adrienne D'Ambricourt"", 'Marcel Dalio', 'Helmut Dantine', 'Jean De Briac', 'George Dee', 'Jean Del Val', 'Carl Deloro', 'Joseph DeVillard', 'Arthur Dulac', 'William Edmunds', 'Herbert Evans', 'Fred Farrell', 'Adolph Faylauer', 'O.K. Ford', 'Martín Garralaga', 'Gregory Gaye', 'Gregory Golubeff', 'Ilka Grüning', 'Creighton Hale', 'Winifred Harris', 'Jamiel Hasson', 'Arthur Stuart Hull', 'Olaf Hytten', 'Charles La Torre', 'George J. Lewis', 'Manuel Lopez', 'Jacques Lory', 'Lou Marcelle', 'Tony Martelli', 'George Meeker', 'Lal Chand Mehra', 'Hercules Mendez', 'Louis Mercier', 'Torben Meyer', 'Alberto Morin', 'Leo Mostovoy', 'Corinna Mura', 'Barry Norton', 'Lotte Palfi Andor', 'Paul Panzer', 'Manuel París', 'Alexander Pollard', 'Frank Puglia', 'Georges Renavent', 'Dewey Robinson', 'Richard Ryen', 'Dan Seymour', 'Lester Sharpe', 'Dina Smirnova', 'Gerald Oliver Smith', 'George Sorel', 'Geoffrey Steele', 'Ludwig Stössel', 'Mike Tellegen', 'Rafael Trujillo', 'Jacques Vanaire', 'Ellinor Vanderveer', 'Norma Varden', 'Hans Heinrich von Twardowski', 'Jack Wise', 'Wolfgang Zilzer', 'Trude Berliner', 'Paul Porcasi', 'Max Linder', 'Frank Mazzola', 'Henry Rowland', 'Leo White', 'Paul Irving', 'Brandon Beach', 'Victor Romito', 'Michael Mark', 'Bhogwan Singh']";['Warner Bros. Pictures'];https://letterboxd.com//film/casablanca/
Terminator 2: Judgment Day;1991;James Cameron;['Thriller', 'Action', 'Science Fiction'];4.5;4.28;137;['France', 'USA'];English;['English', 'Spanish'];801291;141900;245395;['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick', 'Joe Morton', 'Earl Boen', 'S. Epatha Merkerson', 'Castulo Guerra', 'Danny Cooksey', 'Jenette Goldstein', 'Xander Berkeley', 'Leslie Hamilton Gearren', 'Ken Gibbel', 'Robert Winley', 'Pete Schrum', 'Shane Wilder', 'Michael Edwards', 'Jared Lounsbery', 'Casey Chavez', 'Ennalls Berl', 'Don Lake', 'Richard Vidan', 'Tom McDonald', 'Jim Palmer', 'Gus Williams', 'Gwenda Deacon', 'Don Stanton', 'Dan Stanton', 'Colin Patrick Lynch', 'Noel Evangelisti', 'Nikki Cox', 'Lisa Brinegar', 'DeVaughn Nixon', 'Tony Simotes', 'Diane Rodriguez', 'Dalton Abbott', 'Ron Young', 'Charles Robert Brown', 'Abdul Salaam El Razzac', 'Mike Muscat', 'Dean Norris', 'Charles A. Tamburro', 'J. Rob Jordan', 'Terrence Evans', 'Denney Pierce', 'Mark Christopher Lawrence', 'Pat Kouri', 'Van Ling', 'Martin DeLuca', 'Joel Kramer', 'Richard Ruskin', 'Scott Shaw', 'Sven-Ole Thorsen', 'Randy Walker', 'William Wisher', 'Dalton Hamilton', 'Nancy Fish', 'Mic Rodgers', 'Michael Albanese', 'Ed Arneson', 'Debra Casey', 'Anne Merrem', 'Gavin Kelly', 'Bret A. Arnold', 'Dean Blanke', 'Jim Dahl', 'Brad Jacobowitz', 'Jennifer Jacono', 'Takao Komine', 'Steven Stear'];['Lightstorm Entertainment', 'Carolco Pictures', 'Pacific Western', 'StudioCanal'];https://letterboxd.com//film/terminator-2-judgment-day/
The Fifth Seal;1976;Zoltán Fábri;['Drama', 'War'];nan;4.28;107;['Hungary'];Hungarian;['Hungarian'];8280;5943;3106;['Lajos Őze', 'László Márkus', 'Ferenc Bencze', 'Sándor Horváth', 'István Dégi', 'Gábor Nagy', 'György Bánffy', 'Zoltán Latinovits', 'József Vándor', 'Noémi Apor', 'Ildikó Pécsi', 'Marianna Moór', 'Rita Békés', 'György Cserhalmi', 'Gábor Kiss'];['Mafilm', 'Budapest Filmstúdió'];https://letterboxd.com//film/the-fifth-seal/
